"Identifier","Akt","mTOR","Akt_0.7_0.6","mTOR_0.7_0.6","Akt_0.7_0.7","mTOR_0.7_0.7","Akt_0.7_0.8","mTOR_0.7_0.8","Akt_0.7_0.9","mTOR_0.7_0.9","Akt_0.7_1","mTOR_0.7_1","Akt_0.8_0.6","mTOR_0.8_0.6","Akt_0.8_0.7","mTOR_0.8_0.7","Akt_0.8_0.8","mTOR_0.8_0.8","Akt_0.8_0.9","mTOR_0.8_0.9","Akt_0.8_1","mTOR_0.8_1","Akt_0.9_0.6","mTOR_0.9_0.6","Akt_0.9_0.7","mTOR_0.9_0.7","Akt_0.9_0.8","mTOR_0.9_0.8","Akt_0.9_0.9","mTOR_0.9_0.9","Akt_0.9_1","mTOR_0.9_1","Akt_0.95_0.6","mTOR_0.95_0.6","Akt_0.95_0.7","mTOR_0.95_0.7","Akt_0.95_0.8","mTOR_0.95_0.8","Akt_0.95_0.9","mTOR_0.95_0.9","Akt_0.95_1","mTOR_0.95_1"
"MKIAA1227;459;",NA,NA,0.013,0.1,0.006,0.063,0.002,0.064,0.001,0.022,0.011,0.231,0.009,0.14,0.015,0.201,0,0.157,0.036,0.11,0.001,0.072,0.007,0.128,0.008,0.06,0.004,0.086,0.006,0.356,0,0.05,0.012,0.14,0.023,0.171,0.01,0.128,0.005,0.335,0.003,0.149
"MKIAA1227;463;",NA,NA,0.005,0.247,0.004,0.607,0.001,0.576,0,0.754,0.011,0.61,0.017,0.206,0.011,0.393,0.001,0.17,0.022,0.131,0,0.273,0.012,0.191,0.014,0.383,0.014,0.332,0.01,0.62,0.001,0.165,0.012,0.087,0.02,0.458,0.013,0.251,0.003,0.125,0.006,0.256
"MKIAA1703;1240;",NA,NA,0.001,0.198,0.01,0.532,0,0.411,0.007,0.865,0.001,0.356,0.007,0.193,0.007,0.314,0,0.157,0.013,0.088,0.001,0.066,0.005,0.121,0.009,0.446,0.02,0.276,0.024,0.702,0.006,0.159,0.02,0.173,0.004,0.417,0.003,0.519,0.002,0.111,0,0.267
"MKIAA1991;234;",NA,NA,0.008,0.136,0.01,0.101,0.001,0.153,0,0.04,0.009,0.185,0.016,0.124,0.017,0.096,0.001,0.095,0.041,0.121,0.02,0.026,0.044,0.139,0.03,0.094,0.037,0.17,0.02,0.129,0.008,0.084,0.087,0.2,0.09,0.212,0.054,0.308,0.11,0.148,0.029,0.202
"MKIAA1991;236;",NA,NA,0.001,0.218,0.005,0.115,0,0.184,0,0.06,0.005,0.179,0.001,0.094,0.01,0.055,0.001,0.181,0.007,0.149,0,0.018,0.023,0.11,0.017,0.141,0.022,0.056,0.017,0.058,0.004,0.059,0.023,0.087,0.025,0.054,0.006,0.108,0.025,0.021,0.005,0.113
"MKIAA3013;525;",NA,NA,0.005,0.393,0,0.685,0.001,0.778,0,0.79,0.01,0.768,0.004,0.279,0.006,0.49,0,0.204,0.027,0.325,0.004,0.307,0.01,0.247,0.004,0.386,0.013,0.438,0.002,0.762,0.004,0.293,0.012,0.348,0.011,0.465,0.001,0.565,0,0.171,0.001,0.26
"MKIAA3013;528;",NA,NA,0,0.265,0.004,0.147,0,0.052,0,0.094,0,0.171,0.005,0.163,0.001,0.104,0,0.156,0.023,0.112,0.001,0.035,0.006,0.096,0.004,0.058,0.003,0.069,0,0.035,0,0.08,0.005,0.131,0.001,0.205,0.014,0.148,0.005,0.085,0,0.124
"MKIAA3013;529;",NA,NA,0.006,0.222,0.003,0.102,0.001,0.034,0,0.145,0.01,0.03,0.003,0.053,0.002,0.021,0,0.031,0.004,0.065,0,0.021,0.005,0.022,0.002,0.046,0.002,0.196,0.001,0.009,0,0.032,0.003,0.031,0.012,0.082,0.007,0.01,0,0.032,0,0.078
"MKIAA3013;731;",NA,NA,0.007,0.328,0.002,0.218,0.001,0.14,0.038,0.158,0.001,0.314,0.018,0.058,0.007,0.093,0.003,0.11,0.002,0.101,0.005,0.041,0.011,0.079,0.011,0.086,0.018,0.097,0.077,0.051,0.027,0.098,0.02,0.157,0.004,0.18,0.004,0.047,0.015,0.067,0.007,0.049
"MKIAA3013;848;",NA,NA,0.078,0.241,0.15,0.359,0.103,0.456,0.552,0.258,0.043,0.329,0.12,0.132,0.113,0.079,0.071,0.243,0.043,0.084,0.073,0.137,0.061,0.067,0.02,0.125,0.129,0.134,0.334,0.041,0.077,0.122,0.513,0.294,0.195,0.137,0.265,0.097,0.214,0.487,0.162,0.159
"MKIAA3013;854;",NA,NA,0.003,0.229,0.017,0.473,0.002,0.269,0.007,0.382,0.013,0.63,0.022,0.12,0.004,0.26,0,0.219,0.016,0.119,0,0.112,0.011,0.16,0.011,0.16,0.015,0.248,0.023,0.215,0.005,0.171,0.024,0.179,0.004,0.389,0.004,0.386,0.002,0.144,0.007,0.213
"MKIAA3013;868;",NA,NA,0.025,0.251,0.005,0.137,0.002,0.159,0,0.097,0.011,0.14,0.01,0.048,0.005,0.037,0,0.052,0.011,0.066,0.001,0.016,0.014,0.077,0.003,0.037,0.013,0.039,0.006,0.008,0.003,0.039,0.002,0.063,0.012,0.09,0.002,0.054,0.004,0.082,0.004,0.044
"MKIAA3013;870;",NA,NA,0.025,0.128,0.053,0.22,0.011,0.242,0.107,0.166,0.005,0.401,0.072,0.042,0.017,0.067,0.003,0.101,0.018,0.094,0.011,0.089,0.027,0.091,0.009,0.104,0.033,0.339,0.202,0.092,0.02,0.131,0.16,0.194,0.02,0.238,0.053,0.243,0.019,0.135,0.019,0.252
"MKIAA3013;884;",NA,NA,0.008,0.44,0.043,0.513,0.007,0.397,0.278,0.852,0.012,0.537,0.062,0.563,0.023,0.434,0.04,0.236,0.011,0.102,0.013,0.134,0.008,0.249,0.017,0.556,0.037,0.343,0.2,0.716,0.02,0.488,0.229,0.302,0.108,0.587,0.148,0.728,0.196,0.174,0.053,0.575
"MKIAA3013;886;",NA,NA,0.01,0.448,0.003,0.556,0.001,0.481,0.037,0.876,0,0.694,0.02,0.564,0.008,0.476,0.003,0.29,0.002,0.151,0.004,0.254,0.002,0.292,0.012,0.63,0.002,0.356,0.067,0.828,0.015,0.487,0.047,0.463,0.007,0.562,0.011,0.762,0.044,0.124,0.019,0.522
"MKIAA3013;898;",NA,NA,0.518,0.044,0.429,0.113,0.806,0.084,0.085,0.018,0.39,0.134,0.324,0.028,0.152,0.034,0.577,0.034,0.367,0.057,0.546,0.002,0.563,0.088,0.357,0.034,0.532,0.029,0.46,0.029,0.655,0.024,0.254,0.094,0.688,0.11,0.621,0.105,0.942,0.25,0.415,0.052
"MKIAA3013;900;",NA,NA,0.009,0.09,0.009,0.084,0.601,0.115,0.002,0.106,0.027,0.045,0.108,0.042,0.094,0.082,0.057,0.06,0.018,0.084,0.125,0.01,0.073,0.096,0.032,0.043,0.357,0.04,0.025,0.369,0.017,0.033,0.019,0.102,0.034,0.082,0.205,0.121,0.072,0.028,0.323,0.165
"MKIAA3013;902;",NA,NA,0.023,0.275,0.067,0.156,0.01,0.155,0.256,0.114,0.012,0.284,0.081,0.091,0.04,0.189,0.042,0.127,0.027,0.036,0.016,0.051,0.022,0.035,0.019,0.04,0.05,0.093,0.217,0.033,0.03,0.076,0.159,0.216,0.003,0.095,0.06,0.141,0.024,0.115,0.028,0.058
"MKIAA4222;28;",NA,NA,0.006,0.89,0,0.801,0.002,0.924,0.001,0.976,0,0.929,0.007,0.805,0.007,0.765,0,0.646,0.03,0.579,0.001,0.583,0.005,0.416,0,0.743,0.009,0.512,0.006,0.84,0,0.748,0.017,0.492,0.01,0.626,0.006,0.802,0.023,0.304,0.009,0.628
"MKIAA4222;80;",NA,NA,0.005,0.279,0.001,0.044,0.001,0.101,0,0.095,0.009,0.205,0.026,0.066,0.016,0.044,0.001,0.072,0.053,0.108,0.014,0.051,0.023,0.118,0.011,0.03,0.023,0.368,0.005,0.087,0.013,0.105,0.021,0.076,0.017,0.1,0.005,0.097,0.002,0.042,0.009,0.058
"MKL2;218;",NA,NA,0.003,0.258,0.007,0.134,0.001,0.161,0,0.061,0.011,0.174,0.004,0.052,0.004,0.027,0,0.024,0.013,0.111,0,0.004,0.008,0.053,0.003,0.025,0.004,0.025,0,0.018,0,0.029,0.017,0.109,0.007,0.187,0.002,0.043,0.019,0.05,0.001,0.051
"MKL2;77;",NA,NA,0.19,0.908,0.11,0.833,0.142,0.834,0.219,0.949,0.015,0.775,0.191,0.846,0.203,0.891,0.223,0.773,0.165,0.912,0.141,0.947,0.144,0.692,0.467,0.714,0.085,0.774,0.084,0.712,0.023,0.88,0.162,0.549,0.06,0.672,0.037,0.485,0.01,0.899,0.159,0.723
"MKNK1;180;",NA,NA,0.411,0.87,0.103,0.923,0.046,0.949,0.706,0.977,0.068,0.965,0.46,0.802,0.048,0.819,0.213,0.622,0.32,0.6,0.19,0.826,0.275,0.453,0.062,0.566,0.12,0.517,0.31,0.818,0.129,0.645,0.497,0.442,0.166,0.592,0.142,0.717,0.042,0.716,0.418,0.637
"MKNK1;396;",NA,NA,0.003,0.459,0.003,0.692,0,0.63,0.018,0.903,0,0.833,0.005,0.608,0.003,0.575,0,0.377,0.016,0.161,0.006,0.365,0.001,0.403,0.019,0.621,0.007,0.404,0.071,0.829,0.005,0.542,0.098,0.448,0.113,0.618,0.088,0.758,0.189,0.21,0.025,0.564
"MKNK2;169;",NA,NA,0.131,0.399,0.194,0.705,0.128,0.438,0.805,0.3,0.024,0.676,0.179,0.759,0.406,0.633,0.27,0.573,0.214,0.641,0.174,0.624,0.19,0.496,0.465,0.528,0.129,0.558,0.39,0.321,0.062,0.623,0.411,0.668,0.037,0.422,0.133,0.327,0.047,0.776,0.181,0.394
"MKNK2;220;",NA,NA,0.168,0.985,0.095,0.974,0.142,0.988,0.216,0.972,0.011,0.77,0.185,0.918,0.215,0.939,0.223,0.857,0.171,0.929,0.142,0.968,0.15,0.909,0.464,0.938,0.089,0.82,0.08,0.926,0.024,0.884,0.24,0.695,0.056,0.897,0.046,0.949,0.047,0.977,0.174,0.903
"MKNK2;431;",NA,NA,0.01,0.517,0.045,0.701,0.01,0.615,0.282,0.919,0.006,0.833,0.089,0.591,0.028,0.521,0.041,0.356,0.046,0.198,0.014,0.407,0.015,0.375,0.019,0.511,0.034,0.554,0.236,0.621,0.024,0.513,0.174,0.434,0.011,0.639,0.062,0.744,0.024,0.284,0.024,0.577
"MKNK2;446;",NA,NA,0.142,0.047,0.087,0.351,0.01,0.121,0.144,0.147,0.015,0.085,0.158,0.195,0.331,0.219,0.08,0.277,0.216,0.285,0.076,0.41,0.087,0.411,0.271,0.076,0.026,0.299,0.074,0.388,0.026,0.102,0.034,0.199,0.043,0.171,0.032,0.145,0.019,0.752,0.072,0.322
"MKNK2;448;",NA,NA,0.115,0.279,0.073,0.386,0.112,0.184,0.256,0.235,0.01,0.274,0.089,0.708,0.283,0.621,0.223,0.42,0.184,0.572,0.123,0.732,0.146,0.558,0.474,0.656,0.079,0.581,0.081,0.331,0.019,0.702,0.269,0.722,0.079,0.459,0.068,0.459,0.102,0.841,0.176,0.44
"MKNK2;450;",NA,NA,0.533,0.593,0.372,0.62,0.204,0.698,0.942,0.447,0.131,0.725,0.593,0.83,0.489,0.772,0.429,0.81,0.586,0.773,0.369,0.914,0.432,0.742,0.579,0.802,0.233,0.933,0.501,0.409,0.148,0.912,0.663,0.771,0.35,0.723,0.167,0.651,0.06,0.957,0.565,0.817
"MKNK2;74;",NA,NA,0,0.203,0.001,0.226,0,0.149,0,0.124,0,0.329,0.004,0.58,0.013,0.338,0.001,0.371,0.001,0.407,0.003,0.515,0.009,0.312,0.009,0.749,0.019,0.493,0.004,0.299,0.003,0.724,0.033,0.745,0.011,0.521,0.017,0.459,0.025,0.359,0.014,0.441
"MKRN2;122;",NA,NA,0.159,0.735,0.132,0.659,0.013,0.665,0.13,0.528,0.014,0.759,0.076,0.667,0.238,0.891,0.072,0.877,0.143,0.811,0.074,0.92,0.048,0.75,0.266,0.787,0.01,0.932,0.067,0.685,0.008,0.855,0.027,0.82,0.029,0.801,0.023,0.83,0.014,0.914,0.061,0.67
"MKRN2;139;",NA,NA,0.007,0.432,0,0.667,0.002,0.873,0.001,0.849,0.008,0.888,0.005,0.709,0.003,0.781,0,0.577,0.011,0.401,0.001,0.477,0.008,0.367,0.001,0.475,0.009,0.477,0.003,0.633,0,0.656,0.017,0.315,0.012,0.465,0.002,0.495,0.001,0.281,0.002,0.571
"MLF2;145;",NA,NA,0.001,0.23,0.001,0.081,0,0.058,0,0.062,0.003,0.084,0.002,0.171,0.006,0.176,0,0.13,0.012,0.122,0.002,0.048,0.026,0.152,0.008,0.094,0.015,0.091,0.003,0.378,0.004,0.13,0.023,0.194,0.03,0.132,0.003,0.151,0.02,0.078,0.003,0.168
"MLF2;237;",NA,NA,0.017,0.396,0.002,0.288,0,0.389,0,0.284,0.003,0.659,0.006,0.133,0.005,0.444,0,0.225,0.007,0.341,0.001,0.303,0.011,0.231,0.003,0.176,0.003,0.508,0.003,0.814,0.003,0.316,0.014,0.269,0.002,0.646,0.007,0.645,0.022,0.228,0.013,0.192
"MLF2;242;",NA,NA,0.002,0.15,0.001,0.149,0.001,0.099,0,0.323,0.008,0.028,0.001,0.13,0.004,0.035,0,0.026,0,0.039,0,0.038,0.001,0.16,0.006,0.123,0.002,0.086,0.001,0.117,0,0.055,0.011,0.3,0.002,0.33,0.01,0.184,0.017,0.063,0.001,0.076
"MLH1;469;",NA,NA,0.027,0.128,0.043,0.448,0.016,0.544,0.019,0.745,0.016,0.618,0.019,0.298,0.013,0.5,0.004,0.282,0.025,0.128,0.024,0.319,0.008,0.272,0.012,0.423,0.01,0.482,0.01,0.772,0.007,0.2,0.033,0.298,0.039,0.66,0.005,0.551,0.005,0.258,0.025,0.359
"MLLT1;284;",NA,NA,0.347,0.518,0.165,0.398,0.042,0.4,0.684,0.229,0.072,0.349,0.447,0.201,0.058,0.211,0.21,0.297,0.327,0.39,0.188,0.254,0.269,0.162,0.112,0.091,0.139,0.556,0.4,0.074,0.132,0.207,0.48,0.194,0.271,0.372,0.143,0.081,0.038,0.517,0.41,0.161
"MLLT1;463;",NA,NA,0.012,0.533,0.003,0.661,0,0.472,0,0.843,0.004,0.553,0.01,0.57,0.004,0.558,0,0.145,0.009,0.315,0.001,0.438,0.01,0.458,0.001,0.443,0.004,0.303,0.004,0.705,0.002,0.337,0.045,0.439,0.033,0.293,0.011,0.705,0.028,0.097,0.02,0.485
"MLR;250;",NA,NA,0.051,0.155,0.104,0.256,0.013,0.249,0.261,0.112,0.022,0.297,0.098,0.051,0.044,0.012,0.043,0.092,0.014,0.033,0.015,0.104,0.034,0.121,0.015,0.082,0.049,0.105,0.249,0.023,0.035,0.062,0.192,0.205,0.033,0.093,0.065,0.155,0.021,0.122,0.052,0.144
"MLTK;634;",NA,NA,0.003,0.075,0.008,0.13,0,0.033,0,0.086,0.001,0.14,0.01,0.122,0.016,0.108,0.001,0.081,0.013,0.087,0.004,0.017,0.02,0.087,0.017,0.071,0.014,0.22,0,0.356,0.003,0.155,0.021,0.131,0.024,0.191,0.008,0.134,0.018,0.154,0.011,0.169
"MLTK;638;",NA,NA,0.055,0.268,0.047,0.145,0.006,0.249,0.021,0.086,0.018,0.287,0.031,0.066,0.012,0.031,0.004,0.124,0.05,0.119,0.008,0.155,0.024,0.062,0.007,0.087,0.01,0.08,0.025,0.011,0.011,0.09,0.042,0.212,0.037,0.06,0.015,0.134,0.004,0.147,0.014,0.148
"MLTK;649;",NA,NA,0.087,0.112,0.279,0.08,0.792,0.139,0.017,0.091,0.295,0.053,0.3,0.098,0.15,0.025,0.212,0.112,0.11,0.041,0.404,0.089,0.423,0.139,0.1,0.104,0.524,0.094,0.264,0.051,0.531,0.042,0.17,0.126,0.23,0.187,0.465,0.112,0.378,0.069,0.396,0.135
"MLTK;687;",NA,NA,0.006,0.097,0.008,0.109,0.001,0.035,0,0.033,0.005,0.152,0.003,0.098,0.008,0.105,0,0.067,0.009,0.066,0,0.023,0.023,0.296,0.007,0.111,0.008,0.117,0.006,0.382,0,0.058,0.082,0.218,0.133,0.182,0.091,0.189,0.172,0.284,0.033,0.165
"MLTK;691;",NA,NA,0.002,0.306,0,0.598,0.001,0.487,0,0.882,0.012,0.707,0.02,0.513,0.005,0.491,0,0.185,0.013,0.093,0,0.207,0.013,0.25,0.003,0.478,0.005,0.399,0.003,0.652,0.003,0.448,0.002,0.298,0.008,0.537,0.007,0.659,0,0.109,0.004,0.336
"MMAC1;294;",NA,NA,0.009,0.117,0.063,0.185,0.01,0.129,0.266,0.019,0.004,0.4,0.081,0.066,0.041,0.042,0.041,0.059,0.029,0.081,0.015,0.036,0.018,0.093,0.019,0.018,0.048,0.088,0.217,0.052,0.042,0.017,0.175,0.163,0.003,0.231,0.061,0.166,0.019,0.048,0.025,0.09
"MNCB-0780;240;",NA,NA,0.024,0.216,0.032,0.119,0.001,0.126,0,0.158,0,0.057,0.022,0.078,0.009,0.026,0,0.099,0.03,0.056,0.004,0.118,0.009,0.121,0.005,0.072,0.011,0.046,0.006,0.037,0.008,0.023,0.012,0.106,0.009,0.189,0.006,0.106,0.003,0.084,0.007,0.139
"MNCB-1192;129;",NA,NA,0,0.261,0,0.665,0,0.526,0,0.871,0,0.8,0.009,0.488,0.008,0.374,0,0.173,0.024,0.089,0.004,0.217,0.008,0.348,0.006,0.45,0.01,0.403,0,0.838,0.008,0.391,0.017,0.303,0.005,0.653,0.002,0.64,0.002,0.153,0.002,0.277
"MNCB-1660;2;",NA,NA,0,0.061,0.001,0.07,0.01,0.079,0,0.062,0,0.05,0.002,0.028,0.005,0.008,0,0.025,0.001,0.036,0.001,0.006,0.001,0.1,0.003,0.059,0.002,0.047,0,0.031,0.002,0.02,0.026,0.183,0.012,0.084,0.006,0.139,0.005,0.056,0.024,0.085
"MNCB-3063;124;",NA,NA,0.023,0.21,0.003,0.064,0.001,0.062,0,0.248,0.008,0.054,0.008,0.172,0.008,0.06,0,0.105,0.009,0.071,0,0.037,0.01,0.225,0.009,0.087,0.006,0.098,0.004,0.111,0.003,0.069,0.005,0.323,0.016,0.266,0.013,0.228,0.008,0.103,0.018,0.158
"MNCB-3063;316;",NA,NA,0.014,0.21,0.008,0.086,0.601,0.042,0.002,0.039,0.034,0.227,0.111,0.495,0.104,0.314,0.057,0.259,0.015,0.379,0.123,0.46,0.096,0.246,0.056,0.597,0.425,0.322,0.034,0.218,0.022,0.534,0.018,0.626,0.041,0.339,0.189,0.363,0.069,0.415,0.319,0.329
"MNCB-3527;510;",NA,NA,0.003,0.228,0.001,0.553,0,0.746,0,0.755,0,0.669,0.004,0.584,0.014,0.562,0.001,0.294,0.026,0.376,0.001,0.4,0.002,0.438,0.016,0.514,0.009,0.482,0.001,0.749,0,0.321,0.007,0.477,0.007,0.496,0.006,0.786,0.006,0.366,0.002,0.579
"MNCB-3527;514;",NA,NA,0.014,0.23,0.003,0.088,0,0.092,0,0.051,0.003,0.02,0.012,0.148,0.007,0.242,0,0.197,0.027,0.214,0.001,0.085,0.01,0.071,0.006,0.077,0.005,0.3,0.005,0.038,0.003,0.146,0.028,0.159,0.011,0.252,0.018,0.158,0.034,0.137,0.016,0.109
"MNCB-3527;521;",NA,NA,0.192,0.699,0.106,0.617,0.14,0.605,0.218,0.932,0.018,0.445,0.187,0.508,0.171,0.775,0.219,0.493,0.152,0.665,0.133,0.578,0.145,0.516,0.465,0.607,0.085,0.585,0.091,0.547,0.024,0.607,0.198,0.377,0.097,0.663,0.033,0.407,0.01,0.889,0.164,0.515
"MNCB-3527;736;",NA,NA,0.495,0.525,0.331,0.643,0.166,0.527,0.967,0.333,0.125,0.659,0.563,0.831,0.457,0.845,0.426,0.744,0.614,0.765,0.355,0.754,0.436,0.693,0.575,0.79,0.228,0.818,0.462,0.693,0.14,0.864,0.655,0.78,0.296,0.652,0.163,0.492,0.055,0.898,0.563,0.685
"MNCK-ALPHA;85;",NA,NA,0.407,0.153,0.414,0.039,0.796,0.041,0.007,0.18,0.256,0.057,0.332,0.105,0.135,0.058,0.573,0.043,0.288,0.033,0.522,0.021,0.527,0.176,0.333,0.023,0.524,0.034,0.459,0.015,0.747,0.058,0.18,0.076,0.507,0.137,0.444,0.085,0.761,0.017,0.328,0.065
"MOBKL1A;35;",NA,NA,0.009,0.215,0.003,0.22,0.001,0.103,0.038,0.151,0,0.332,0.018,0.033,0.004,0.004,0.003,0.015,0.002,0.046,0.005,0.014,0.005,0.072,0.01,0.045,0.006,0.066,0.07,0.018,0.021,0.026,0.031,0.105,0,0.113,0.009,0.123,0.037,0.028,0.006,0.084
"MOF;37;",NA,NA,0,0.455,0.001,0.53,0,0.673,0,0.893,0,0.457,0.001,0.175,0.002,0.441,0,0.086,0.001,0.313,0.002,0.313,0.02,0.178,0.004,0.261,0.016,0.284,0.018,0.708,0.004,0.249,0.003,0.166,0.012,0.438,0.004,0.307,0.003,0.097,0.002,0.202
"MOF;42;",NA,NA,0.005,0.392,0.004,0.447,0.001,0.395,0,0.487,0.009,0.417,0,0.242,0.001,0.365,0,0.259,0.002,0.342,0,0.436,0.003,0.293,0.004,0.195,0.003,0.324,0.003,0.404,0.001,0.211,0.028,0.179,0.017,0.43,0.018,0.291,0.033,0.166,0.014,0.191
"MON1A;31;",NA,NA,0.024,0.322,0.007,0.088,0.001,0.095,0.014,0.063,0.013,0.226,0.012,0.098,0.01,0.082,0,0.051,0.032,0.107,0.001,0.022,0.017,0.134,0.019,0.068,0.014,0.104,0.025,0.124,0.008,0.076,0.018,0.282,0.007,0.114,0.002,0.118,0.016,0.08,0.003,0.049
"MON1A;56;",NA,NA,0.006,0.214,0.005,0.021,0.002,0.109,0.001,0.254,0.003,0.141,0.021,0.132,0.019,0.057,0,0.104,0.059,0.149,0.005,0.109,0.013,0.195,0.009,0.094,0.01,0.294,0.006,0.059,0.009,0.041,0.034,0.105,0.016,0.132,0.01,0.134,0.026,0.188,0.012,0.087
"MON1A;72;",NA,NA,0,0.317,0.001,0.155,0,0.43,0,0.137,0,0.418,0.004,0.161,0.004,0.158,0,0.295,0.004,0.208,0.001,0.148,0.002,0.147,0,0.123,0.01,0.338,0.005,0.083,0.001,0.194,0.008,0.116,0.002,0.309,0.006,0.158,0.002,0.123,0.003,0.154
"MON2;534;",NA,NA,0.124,0.187,0.069,0.419,0.01,0.264,0.145,0.497,0.007,0.277,0.07,0.214,0.269,0.231,0.076,0.361,0.159,0.25,0.078,0.501,0.05,0.527,0.271,0.13,0.016,0.299,0.071,0.055,0.022,0.169,0.044,0.149,0.044,0.218,0.017,0.26,0.013,0.803,0.062,0.234
"MORC2A;714;",NA,NA,0,0.193,0.006,0.043,0,0.029,0,0.053,0,0.151,0.013,0.069,0.01,0.042,0,0.056,0.028,0.141,0.004,0.029,0.014,0.21,0.006,0.053,0.011,0.253,0,0.058,0.008,0.085,0.014,0.121,0.004,0.123,0.005,0.208,0.002,0.06,0,0.079
"MORC3;563;",NA,NA,0.228,0.167,0.134,0.311,0.158,0.18,0.242,0.146,0.022,0.281,0.195,0.245,0.391,0.227,0.224,0.334,0.279,0.411,0.15,0.499,0.175,0.58,0.476,0.457,0.083,0.422,0.101,0.11,0.022,0.363,0.194,0.266,0.093,0.322,0.043,0.371,0.016,0.761,0.176,0.516
"MOV10;339;",NA,NA,0.13,0.153,0.03,0.494,0.011,0.138,0.133,0.314,0.011,0.324,0.061,0.196,0.089,0.145,0.049,0.246,0.133,0.212,0.013,0.385,0.048,0.316,0.2,0.116,0.019,0.237,0.029,0.054,0.01,0.121,0.013,0.129,0.01,0.149,0.021,0.05,0.007,0.722,0.034,0.282
"MOZ;447;",NA,NA,0.173,0.236,0.074,0.393,0.031,0.104,0.145,0.212,0.025,0.206,0.071,0.614,0.281,0.422,0.076,0.391,0.165,0.405,0.058,0.657,0.053,0.506,0.239,0.651,0.021,0.471,0.066,0.275,0.008,0.586,0.013,0.655,0.012,0.358,0.023,0.395,0.012,0.761,0.057,0.469
"MP44;73;",NA,NA,0,0.806,0.004,0.712,0,0.809,0,0.891,0.002,0.663,0.004,0.805,0.001,0.797,0,0.652,0.001,0.805,0,0.804,0.003,0.688,0.002,0.839,0.003,0.658,0.001,0.864,0.001,0.705,0.005,0.892,0.002,0.662,0.01,0.936,0.005,0.34,0.003,0.745
"MPDZ;1588;",NA,NA,0.001,0.174,0.002,0.167,0.004,0.115,0,0.2,0.003,0.037,0.001,0.048,0.003,0.016,0,0.045,0,0.06,0,0.016,0.028,0.079,0.009,0.037,0.017,0.055,0.001,0.027,0.004,0.019,0.009,0.063,0.021,0.115,0.011,0.083,0,0.043,0.018,0.078
"MPH;394;",NA,NA,0,0.164,0,0.16,0,0.207,0,0.316,0.001,0.035,0.002,0.185,0.002,0.115,0,0.068,0.002,0.054,0.001,0.186,0.006,0.222,0.004,0.071,0.009,0.074,0.001,0.032,0,0.102,0.074,0.203,0.041,0.232,0.044,0.093,0.081,0.071,0.013,0.057
"MPH;401;",NA,NA,0.001,0.21,0.003,0.504,0,0.404,0,0.843,0.001,0.412,0.005,0.192,0.005,0.402,0,0.209,0.002,0.133,0,0.173,0,0.252,0.01,0.405,0.01,0.324,0.001,0.74,0,0.169,0.007,0.301,0.003,0.531,0.004,0.483,0.003,0.151,0.006,0.346
"MPH;414;",NA,NA,0.025,0.248,0.004,0.414,0.002,0.335,0.001,0.342,0.005,0.489,0.02,0.169,0.022,0.467,0,0.155,0.053,0.149,0.002,0.229,0.014,0.214,0.008,0.244,0.004,0.305,0.014,0.513,0.002,0.118,0.027,0.273,0.017,0.209,0.013,0.244,0.007,0.143,0.004,0.185
"MPH;424;",NA,NA,0.128,0.352,0.068,0.799,0.01,0.816,0.096,0.79,0.013,0.803,0.061,0.901,0.063,0.905,0.056,0.727,0.116,0.674,0.051,0.865,0.036,0.803,0.2,0.739,0.021,0.878,0.026,0.874,0.004,0.856,0.014,0.838,0.007,0.801,0.019,0.633,0.007,0.869,0.034,0.79
"MPHOSPH10;164;",NA,NA,0.021,0.1,0.003,0.29,0.001,0.183,0,0.196,0.011,0.349,0.008,0.077,0.002,0.266,0,0.14,0.008,0.09,0,0.119,0.012,0.167,0.004,0.079,0.01,0.381,0.004,0.39,0.003,0.14,0.018,0.13,0.013,0.427,0.003,0.235,0.001,0.102,0.007,0.142
"MPHOSPH10;168;",NA,NA,0.026,0.122,0.041,0.049,0.003,0.194,0.015,0.083,0.006,0.068,0.022,0.051,0.015,0.035,0.005,0.069,0.006,0.029,0.021,0.096,0.015,0.062,0.008,0.045,0.013,0.205,0.008,0.02,0.005,0.032,0.026,0.07,0.032,0.154,0.007,0.098,0.001,0.095,0.019,0.14
"MPHOSPH10;172;",NA,NA,0.001,0.106,0.001,0.039,0,0.026,0,0.039,0.004,0.024,0.004,0.105,0.001,0.037,0,0.057,0,0.042,0,0.01,0.001,0.169,0.002,0.032,0.004,0.253,0.001,0.02,0,0.047,0.01,0.11,0.004,0.072,0.002,0.096,0,0.021,0.002,0.098
"MPHOSPH8;85;",NA,NA,0.022,0.222,0.039,0.12,0.003,0.144,0.015,0.139,0.011,0.088,0.021,0.091,0.016,0.063,0.005,0.089,0.004,0.06,0.025,0.118,0.026,0.127,0.011,0.134,0.02,0.32,0.009,0.084,0.005,0.164,0.031,0.13,0.031,0.155,0.008,0.238,0.005,0.35,0.017,0.174
"MPP1;331;",NA,NA,0.176,0.291,0.163,0.505,0.154,0.239,0.265,0.447,0.018,0.359,0.18,0.492,0.37,0.526,0.22,0.429,0.242,0.48,0.15,0.578,0.177,0.499,0.497,0.612,0.099,0.485,0.093,0.249,0.018,0.593,0.171,0.659,0.069,0.427,0.04,0.286,0.016,0.818,0.166,0.488
